section,question,option,input_type,input_id,dependence,dependence_value,required,keyword
BMS,Is the background measurement study completed?,Yes,y/n,BMS,NA,NA,TRUE,BMS::1
BMS,Is the background measurement study completed?,No,y/n,BMS,NA,NA,TRUE,BMS::0
BMS,Is the background measurement study disseminated?,Yes,y/n,SD,BMS,Yes,TRUE,BMS-SD::1
BMS,Is the background measurement study disseminated?,No,y/n,SD,BMS,Yes,TRUE,BMS-SD::0
BMS,Is a reference for the background measurement study provided?,Yes,y/n,REF,SD,Yes,TRUE,BMS-REF::1
BMS,Is a reference for the background measurement study provided?,No,y/n,REF,SD,Yes,TRUE,BMS-REF::0
BMS,Are the evaluation and methods provided?,Yes,y/n,EM,BMS,Yes,TRUE,BMS-EM::1
BMS,Are the evaluation and methods provided?,No,y/n,EM,BMS,Yes,TRUE,BMS-EM::0
BMS,"If, yes, how are the evalutation and methods provided?",A description is provided.,mc,EM_TYPE,EM,Yes,TRUE,BMS-EM-DESC::1
BMS,"If, yes, how are the evalutation and methods provided?",A description is referenced via a DOI or equivalent,mc,EM_TYPE,EM,Yes,TRUE,BMS-EM-DOI::1
BMS,"If, yes, how are the evalutation and methods provided?",All of the above,mc,EM_TYPE,EM,Yes,TRUE,"BMS-EM-DESC::1, BMS-EM-DOI::1 "
BMS,Is a summary of the NLP pipeline used in this study provided?,Yes,y/n,PRIOR_NLP,BMS,Yes,TRUE,BMS-NLP::1
BMS,Is a summary of the NLP pipeline used in this study provided?,No,y/n,PRIOR_NLP,BMS,Yes,TRUE,BMS-NLP::0
BMS,"If, yes, how is the NLP pipeline summary given?",A description is provided.,mc,PRIOR_NLP_TYPE,NLP,Yes,TRUE,BMS-NLP-DESC::1
BMS,"If, yes, how is the NLP pipeline summary given?",A description is referenced via a DOI or equivalent,mc,NLP_TYPE,NLP,Yes,TRUE,BMS-NLP-DOI::1
BMS,"If, yes, how is the NLP pipeline summary given? ",All of the above,mc,NLP_TYPE,NLP,Yes,TRUE,"BMS-NLP-DESC::1, BMS-NLP-DOI::1"
ENV,Have you assessed the variability between the evaluation environment and the application environment?,Yes,y/n,ENV,NA,NA,TRUE,ENV::1
ENV,Have you assessed the variability between the evaluation environment and the application environment?,No,y/n,ENV,NA,NA,TRUE,ENV::0
ENV,"If, yes, how is the evalutation of variability provided?",A description is provided.,mc,ENV_ASMNT_TYPE,ENV,Yes,TRUE,ENV-ASMNT-DESC::1
ENV,"If, yes, how is the evalutation of variability provided?",A description is referenced via a DOI or equivalent,mc,ENV_ASMNT_TYPE,ENV,Yes,TRUE,ENV-ASMNT-DOI::1
ENV,"If, yes, how is the evalutation of variability provided?",All of the above,mc,ENV_ASMNT_TYPE,ENV,Yes,TRUE,"ENV-ASMNT-DESC::1, ENV-ASMNT-DOI::1"
COHORT,Is a cohort definition provided?,Yes,y/n,COH_ DEF,NA,NA,TRUE,COHORT::1
COHORT,Is a cohort definition provided?,No,y/n,COH_ DEF,NA,NA,TRUE,COHORT::0
COHORT,Cohort details: Inclusion criteria,A description is provided.,mc,COH_DEF_INC,COH_ DEF,Yes,TRUE,COHORT-INC-DESC::1
